Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
L,298.5,308.5,1691,28.5,203,0
H,297.3,309.5,1513,44.1,80,0
L,302.4,311.8,1888,25.6,119,0
L,301.5,309.8,1278,65.8,20,1
L,295.2,305.0,1443,51.0,192,0
M,298.8,310.8,1593,40.5,93,0
L,300.3,311.2,1637,34.3,141,0
L,298.7,308.7,1374,51.6,192,0
L,302.8,310.7,1329,49.9,149,1
L,301.2,309.3,1432,48.8,119,0
M,300.7,311.2,1327,60.9,89,0
M,296.8,307.7,1691,32.7,11,0
L,299.2,310.4,1506,44.0,89,0
M,300.7,310.7,1546,37.9,43,0
L,297.3,307.9,1409,36.7,151,0
L,300.2,310.4,1765,22.6,209,0
L,300.9,311.7,1447,43.5,217,0
M,300.9,311.8,1344,57.1,38,0
L,302.1,310.6,1366,46.5,182,1
M,299.0,311.0,1770,31.8,115,0
M,302.7,311.2,1594,33.9,76,0
M,297.2,308.6,1430,42.7,9,0
L,300.4,309.7,1334,61.6,156,0
L,304.3,312.6,1518,38.5,109,0
L,298.4,309.4,1491,42.4,160,0
L,302.1,312.0,2058,19.2,43,0
M,297.1,307.8,1474,46.5,84,0
L,297.5,308.6,1348,44.5,37,0
M,300.7,310.9,1436,33.3,144,0
L,297.9,308.3,1390,46.9,201,0
M,299.7,310.2,1339,57.6,176,0
L,298.3,308.0,1618,28.7,17,0
H,298.0,308.7,1444,44.5,28,0
H,301.1,311.2,1848,24.5,121,0
M,302.1,311.9,1399,43.7,162,0
H,301.5,310.6,1988,19.2,177,0
L,296.4,307.8,1352,56.9,8,0
M,300.7,310.7,1546,37.2,4,0
L,301.0,309.2,1370,49.9,209,1
M,302.8,312.2,1407,47.5,79,0
L,303.1,312.0,1949,19.1,55,0
M,298.8,308.6,1697,27.3,37,0
L,303.9,312.1,1370,46.3,99,1
L,297.0,309.2,1518,41.9,215,0
L,298.3,309.3,1384,59.0,124,0
M,298.6,308.4,1999,22.5,179,0
L,295.6,305.7,1518,36.0,12,0
M,302.3,310.8,1439,43.2,92,0
M,299.9,309.7,1361,52.7,98,0
L,300.0,311.7,1537,39.0,69,0
M,304.0,312.3,1551,33.1,77,0
L,303.1,311.4,1840,24.8,63,0
M,304.4,313.8,1492,38.2,198,0
M,300.8,311.0,1417,42.6,221,0
L,296.9,307.8,1435,45.7,59,0
L,299.0,310.5,1496,36.3,61,0
L,302.3,312.3,1344,47.8,11,0
L,300.7,312.2,1400,52.3,37,0
L,300.8,311.5,1376,49.5,108,0
M,304.4,313.0,1407,58.0,59,0
H,300.8,311.3,1477,38.0,31,0
M,298.2,309.5,1528,39.0,47,0
M,302.0,310.6,1747,22.8,193,0
H,302.8,312.2,1479,41.5,40,0
L,298.9,310.3,1384,49.4,93,0
L,296.4,307.8,1692,27.9,53,0
L,301.0,310.4,1473,38.5,203,0
L,297.3,308.0,1602,32.7,43,0
L,300.6,312.3,1413,42.4,159,0
L,302.1,310.0,1534,41.4,49,0
L,296.9,307.0,1548,35.9,206,0
L,300.6,310.9,1666,31.4,108,0
L,303.3,311.7,1365,58.2,188,1
L,303.7,311.7,1535,40.8,220,0
M,302.4,309.4,1467,40.9,204,0
L,299.2,309.4,1458,42.7,121,0
L,300.7,310.1,1431,43.2,81,0
L,299.3,308.6,1378,56.6,159,0
M,301.4,310.7,1428,49.0,24,0
L,302.1,311.9,1660,35.9,71,0
L,301.6,310.7,1497,37.4,136,0
M,302.6,311.5,1435,45.0,68,0
H,300.3,309.6,1868,23.8,164,0
M,300.9,310.2,1606,34.8,33,0
L,295.8,306.9,1675,29.7,117,0
M,301.5,310.0,1782,27.9,34,0
H,296.9,307.9,1851,27.3,181,0
L,302.3,310.7,1420,47.3,91,0
M,298.0,308.1,1483,54.1,170,0
L,298.2,308.7,1515,35.9,110,0
M,299.9,308.9,1435,43.8,202,0
L,301.9,310.1,1367,60.3,44,1
L,297.7,309.6,1584,36.5,143,0
L,302.3,311.0,1388,49.4,34,0
L,300.8,310.9,1389,55.4,99,0
M,298.4,309.1,1533,38.4,93,0
L,300.1,308.7,1531,34.5,173,0
L,301.4,309.9,1644,29.7,159,0
L,296.2,307.0,1638,31.7,188,0
L,298.3,308.2,1343,59.1,22,0
L,301.8,310.5,1494,40.3,7,0
M,299.4,308.8,1400,48.3,213,0
L,300.8,311.9,1498,42.5,204,0
L,298.9,308.5,1468,49.9,192,0
M,297.5,308.3,1610,38.2,143,0
M,300.0,309.9,1664,30.8,25,0
L,303.7,311.3,1554,35.4,13,0
L,300.5,311.2,1512,48.1,156,0
H,297.9,308.1,1466,45.7,63,0
H,298.6,309.7,1432,46.4,37,0
L,300.0,311.7,1759,29.8,74,0
L,300.6,310.5,1788,26.5,12,0
L,303.7,312.8,1463,39.9,120,0
L,301.8,310.3,1370,52.9,215,1
M,298.5,309.5,1405,43.8,138,0
L,299.0,310.9,1729,28.1,106,0
M,303.0,312.6,1615,34.9,123,0
L,302.2,312.0,1584,43.1,218,0
H,304.0,313.7,1608,31.4,90,0
L,299.3,309.2,1218,62.3,34,0
L,298.1,307.8,1334,50.6,72,0
L,299.5,309.3,1391,44.7,153,0
L,298.4,308.1,1472,36.0,178,0
H,300.0,309.6,1856,25.2,67,0
M,302.4,310.6,1499,39.8,151,0
L,298.2,307.7,1642,36.0,30,0
H,302.3,311.6,1747,28.3,8,0
H,297.8,307.2,1422,45.1,27,0
L,297.9,307.1,1508,38.6,10,0
L,297.9,307.6,1470,44.3,173,0
L,299.8,311.7,1413,49.4,102,0
L,298.1,309.2,1659,35.5,90,0
L,302.1,311.7,1362,50.0,11,0
L,301.4,311.0,2141,19.5,143,0
L,298.2,308.8,1655,27.7,11,0
M,302.9,312.4,1608,35.3,104,0
L,300.2,311.1,1654,27.8,151,0
L,295.9,307.5,1611,30.4,3,0
M,297.3,309.4,1429,55.9,189,0
M,300.9,310.8,1513,40.4,113,0
M,300.3,311.6,1881,22.8,99,0
M,299.9,309.0,1475,39.2,209,0
M,300.1,312.0,1743,27.2,195,0
H,297.9,308.4,1374,43.0,95,0
L,300.6,310.9,1309,46.3,74,0
M,302.4,310.7,1558,39.0,119,0
H,301.6,310.1,1484,37.8,50,0
H,298.1,309.4,1469,37.7,25,0
L,301.3,310.8,1516,36.1,98,0
L,300.2,309.1,1632,29.3,129,0
L,298.1,308.2,1418,46.2,108,0
L,300.1,312.1,1415,40.5,43,0
L,297.3,308.3,1843,21.5,25,0
L,298.2,307.4,1490,37.3,36,0
M,298.6,308.4,1476,42.8,193,0
L,298.5,307.5,1554,35.5,52,0
L,301.7,310.9,1406,50.6,171,0
M,299.5,309.5,1608,37.6,126,0
L,296.6,307.5,1429,52.3,205,0
H,298.0,308.5,1487,40.1,101,0
L,300.4,310.9,1662,29.4,49,0
